Input Force [N],Output Force [N],Error
2.5549,0.69637,0.018842
2.7549,0.73135,0.03001
2.9549,0.7571,0.011088
3.1549,0.77962,0.014304
3.3549,0.82023,0.014316
3.5549,0.85981,0.034758
3.7549,0.88475,0.033353
3.9549,0.92965,0.057004
4.1549,0.96261,0.072409
4.3549,1.0148,0.076242
4.5549,1.0481,0.081824
4.7549,1.11,0.09359
4.9549,1.1563,0.086886
5.1549,1.2052,0.09936
5.3549,1.2696,0.11903
5.5549,1.3089,0.11891
5.7549,1.3757,0.1283
5.9549,1.4313,0.12694
6.1549,1.5041,0.14192
6.3549,1.5616,0.13734
6.5549,1.606,0.13532
6.7549,1.6808,0.14642
6.9549,1.7451,0.15333
7.1549,1.8107,0.15198
7.3549,1.915,0.18276
7.5549,1.9215,0.16174
7.7549,2.0145,0.16934
7.9549,2.0802,0.183
8.1549,2.141,0.18182
8.3549,2.1912,0.15676
8.5549,2.3318,0.18231
8.7549,2.3696,0.19765
8.9549,2.4091,0.16274
9.1549,2.4997,0.18368
9.3549,2.5639,0.18242
9.5549,2.6396,0.18927
9.7549,2.7613,0.16846
