Input Force [N],Output Force [N],Error
2.5397,0.72266,0.052935
2.7397,0.7168,0.053772
2.9397,0.72736,0.055742
3.1397,0.73324,0.061382
3.3397,0.73233,0.062099
3.5397,0.76636,0.055675
3.7397,0.7786,0.043571
3.9397,0.78302,0.052793
4.1397,0.81862,0.064438
4.3397,0.82175,0.052229
4.5397,0.84419,0.057405
4.7397,0.88682,0.056623
4.9397,0.90177,0.0467
5.1397,0.92553,0.051502
5.3397,0.96807,0.053229
5.5397,0.98683,0.061644
5.7397,1.0074,0.077895
5.9397,1.051,0.083348
6.1397,1.0702,0.059034
6.3397,1.1003,0.050149
6.5397,1.1299,0.03393
6.7397,1.14,0.034498
6.9397,1.1584,0.027185
7.1397,1.1813,0.025967
7.3397,1.2041,0.041546
7.5397,1.236,0.033619
7.7397,1.2723,0.030103
7.9397,1.3047,0.037256
8.1397,1.326,0.02471
8.3397,1.3453,0.021801
8.5397,1.3655,0.03399
8.7397,1.3923,0.037397
8.9397,1.4379,0.041624
9.1397,1.4675,0.03374
9.3397,1.481,0.041897
9.5397,1.4999,0.037851
9.7397,1.5326,0.031312
