
Time,Displacement,Force
(s),(mm),(N)
"0.0000","-0.0001","-0.0026"
"0.0200","-0.0001","0.0005"
"0.0400","-0.0001","0.0039"
"0.0600","-0.0001","0.0010"
"0.0800","-0.0001","0.0029"
"0.1000","-0.0001","0.0030"
"0.1200","-0.0001","0.0036"
"0.1400","-0.0001","-0.0011"
"0.1600","-0.0001","-0.0002"
"0.1800","-0.0001","0.0024"
"0.2000","-0.0001","0.0026"
"0.2200","-0.0001","0.0043"
"0.2400","-0.0001","0.0019"
"0.2600","-0.0001","0.0034"
"0.2800","-0.0001","0.0018"
"0.3000","-0.0001","0.0018"
"0.3200","-0.0001","0.0004"
"0.3400","-0.0001","0.0029"
"0.3600","-0.0001","0.0023"
"0.3800","-0.0001","0.0028"
"0.4000","-0.0001","0.0047"
"0.4200","-0.0001","0.0016"
"0.4400","-0.0001","0.0032"
"0.4600","-0.0001","-0.0002"
"0.4800","-0.0001","0.0009"
"0.5000","-0.0001","0.0037"
"0.5200","-0.0001","0.0078"
"0.5400","-0.0001","0.0033"
"0.5600","-0.0001","0.0009"
"0.5800","-0.0001","0.0005"
"0.6000","-0.0001","0.0028"
"0.6200","-0.0001","0.0022"
"0.6400","-0.0001","0.0011"
"0.6600","-0.0001","0.0071"
"0.6800","-0.0001","0.0061"
"0.7000","-0.0001","0.0022"
"0.7200","-0.0001","0.0006"
"0.7400","-0.0001","0.0032"
"0.7600","-0.0001","0.0025"
"0.7800","-0.0001","0.0009"
"0.8000","-0.0001","0.0048"
"0.8200","-0.0001","0.0084"
"0.8400","-0.0001","0.0047"
"0.8600","-0.0001","-0.0005"
"0.8800","-0.0001","-0.0006"
"0.9000","-0.0001","0.0050"
"0.9200","-0.0001","0.0060"
"0.9400","-0.0001","0.0059"
"0.9600","-0.0001","0.0043"
"0.9800","-0.0001","0.0048"
"1.0000","-0.0001","0.0030"
"1.0200","-0.0001","-0.0003"
"1.0400","-0.0001","0.0007"
"1.0600","-0.0001","0.0061"
"1.0800","-0.0001","0.0096"
"1.1000","-0.0001","0.0045"
"1.1200","-0.0001","0.0027"
"1.1400","-0.0001","0.0033"
"1.1600","-0.0001","0.0036"
"1.1800","-0.0001","0.0016"
"1.2000","-0.0001","0.0021"
"1.2200","-0.0001","0.0087"
"1.2400","-0.0001","0.0082"
"1.2600","-0.0001","0.0036"
"1.2800","-0.0001","0.0012"
"1.3000","-0.0001","0.0036"
"1.3200","-0.0001","0.0038"
"1.3400","-0.0001","0.0039"
"1.3600","-0.0001","0.0050"
"1.3800","-0.0001","0.0103"
"1.4000","-0.0001","0.0057"
"1.4200","-0.0001","0.0000"
"1.4400","-0.0001","0.0000"
"1.4600","-0.0001","0.0054"
"1.4800","-0.0001","0.0085"
"1.5000","-0.0001","0.0042"
"1.5200","-0.0001","0.0066"
"1.5400","-0.0001","0.0052"
"1.5600","-0.0001","0.0040"
"1.5800","-0.0001","-0.0006"
"1.6000","-0.0001","0.0054"
"1.6200","-0.0001","0.0089"
"1.6400","-0.0001","0.0086"
"1.6600","-0.0001","0.0032"
"1.6800","-0.0001","0.0018"
"1.7000","-0.0001","0.0044"
"1.7200","-0.0001","0.0049"
"1.7400","-0.0001","0.0072"
"1.7600","-0.0001","0.0060"
"1.7800","-0.0001","0.0081"
"1.8000","-0.0001","0.0020"
"1.8200","-0.0001","0.0043"
"1.8400","-0.0001","0.0050"
"1.8600","-0.0001","0.0070"
"1.8800","-0.0001","0.0066"
"1.9000","-0.0001","0.0051"
"1.9200","-0.0001","0.0057"
"1.9400","-0.0001","0.0035"
"1.9600","-0.0001","0.0075"
"1.9800","-0.0001","0.0060"
"2.0000","-0.0001","0.0068"
"2.0200","-0.0001","0.0038"
"2.0400","-0.0001","0.0069"
"2.0600","-0.0001","0.0060"
"2.0800","-0.0001","0.0054"
"2.1000","-0.0001","0.0062"
"2.1200","-0.0001","0.0059"
"2.1400","-0.0001","0.0061"
"2.1600","-0.0001","0.0058"
"2.1800","-0.0001","0.0066"
"2.2000","-0.0001","0.0079"
"2.2200","-0.0001","0.0060"
"2.2400","-0.0001","0.0040"
"2.2600","-0.0001","0.0048"
"2.2800","-0.0001","0.0069"
"2.3000","-0.0001","0.0098"
"2.3200","-0.0001","0.0057"
"2.3400","-0.0001","0.0063"
"2.3600","-0.0001","0.0052"
"2.3800","-0.0001","0.0061"
"2.4000","-0.0001","0.0056"
"2.4200","-0.0001","0.0090"
"2.4400","-0.0001","0.0095"
"2.4600","-0.0001","0.0068"
"2.4800","-0.0001","0.0079"
"2.5000","-0.0001","0.0045"
"2.5200","-0.0001","0.0046"
"2.5400","-0.0001","0.0055"
"2.5600","-0.0001","0.0112"
"2.5800","-0.0001","0.0088"
"2.6000","-0.0001","0.0054"
"2.6200","-0.0001","0.0048"
