
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0038"
"0.0200","0.0000","0.0034"
"0.0400","0.0000","0.0041"
"0.0600","0.0000","0.0029"
"0.0800","0.0000","0.0046"
"0.1000","0.0000","0.0033"
"0.1200","0.0000","0.0041"
"0.1400","0.0000","0.0041"
"0.1600","0.0000","0.0042"
"0.1800","0.0000","0.0037"
"0.2000","0.0000","0.0043"
"0.2200","0.0000","0.0043"
"0.2400","0.0000","0.0042"
"0.2600","0.0000","0.0045"
"0.2800","0.0000","0.0044"
"0.3000","0.0000","0.0051"
"0.3200","0.0000","0.0039"
"0.3400","0.0000","0.0054"
"0.3600","0.0000","0.0043"
"0.3800","0.0000","0.0055"
"0.4000","0.0000","0.0043"
"0.4200","0.0000","0.0058"
"0.4400","0.0000","0.0049"
"0.4600","0.0000","0.0052"
"0.4800","0.0000","0.0056"
"0.5000","0.0000","0.0052"
"0.5200","0.0000","0.0053"
"0.5400","0.0000","0.0056"
"0.5600","0.0000","0.0055"
"0.5800","0.0000","0.0056"
"0.6000","0.0000","0.0060"
"0.6200","0.0000","0.0061"
"0.6400","0.0000","0.0060"
"0.6600","0.0000","0.0056"
"0.6800","0.0000","0.0070"
"0.7000","0.0000","0.0065"
"0.7200","0.0000","0.0064"
"0.7400","0.0000","0.0064"
"0.7600","0.0000","0.0073"
"0.7800","0.0000","0.0067"
"0.8000","0.0000","0.0068"
"0.8200","0.0000","0.0072"
"0.8400","0.0000","0.0072"
"0.8600","0.0000","0.0075"
"0.8800","0.0000","0.0065"
"0.9000","0.0000","0.0077"
"0.9200","0.0000","0.0068"
"0.9400","0.0000","0.0074"
"0.9600","0.0000","0.0074"
"0.9800","0.0000","0.0078"
"1.0000","0.0000","0.0067"
"1.0200","0.0000","0.0083"
"1.0400","0.0000","0.0076"
"1.0600","0.0000","0.0077"
"1.0800","0.0000","0.0073"
"1.1000","0.0000","0.0084"
"1.1200","0.0000","0.0080"
"1.1400","0.0000","0.0078"
"1.1600","0.0000","0.0083"
"1.1800","0.0000","0.0078"
"1.2000","0.0000","0.0090"
"1.2200","0.0000","0.0074"
"1.2400","0.0000","0.0091"
"1.2600","0.0000","0.0077"
"1.2800","0.0000","0.0090"
"1.3000","0.0000","0.0076"
"1.3200","0.0000","0.0088"
"1.3400","0.0000","0.0079"
"1.3600","0.0000","0.0089"
"1.3800","0.0000","0.0083"
"1.4000","0.0000","0.0088"
"1.4200","0.0000","0.0087"
"1.4400","0.0000","0.0090"
"1.4600","0.0000","0.0089"
"1.4800","0.0000","0.0089"
"1.5000","0.0000","0.0093"
"1.5200","0.0000","0.0088"
"1.5400","0.0000","0.0090"
"1.5600","0.0000","0.0094"
"1.5800","0.0000","0.0091"
"1.6000","0.0000","0.0095"
"1.6200","0.0000","0.0098"
"1.6400","0.0000","0.0092"
"1.6600","0.0000","0.0101"
"1.6800","0.0000","0.0097"
"1.7000","0.0000","0.0101"
"1.7200","0.0000","0.0096"
"1.7400","0.0000","0.0105"
"1.7600","0.0000","0.0097"
"1.7800","0.0000","0.0104"
"1.8000","0.0000","0.0107"
"1.8200","0.0000","0.0103"
"1.8400","0.0000","0.0107"
"1.8600","0.0000","0.0100"
"1.8800","0.0000","0.0112"
"1.9000","0.0000","0.0100"
"1.9200","0.0000","0.0111"
"1.9400","0.0000","0.0108"
"1.9600","0.0000","0.0109"
"1.9800","0.0000","0.0109"
"2.0000","0.0000","0.0109"
"2.0200","0.0000","0.0115"
"2.0400","0.0000","0.0114"
"2.0600","0.0000","0.0111"
"2.0800","0.0000","0.0115"
"2.1000","0.0000","0.0116"
"2.1200","0.0000","0.0114"
"2.1400","0.0000","0.0116"
"2.1600","0.0000","0.0117"
"2.1800","0.0000","0.0126"
"2.2000","0.0000","0.0113"
"2.2200","0.0000","0.0130"
"2.2400","0.0000","0.0118"
"2.2600","0.0000","0.0125"
"2.2800","0.0000","0.0117"
"2.3000","0.0000","0.0130"
"2.3200","0.0000","0.0118"
"2.3400","0.0000","0.0130"
"2.3600","0.0000","0.0126"
"2.3800","0.0000","0.0123"
"2.4000","0.0000","0.0129"
"2.4200","0.0000","0.0129"
"2.4400","0.0000","0.0127"
"2.4600","0.0000","0.0126"
"2.4800","0.0000","0.0136"
"2.5000","0.0000","0.0124"
"2.5200","0.0000","0.0128"
"2.5400","0.0000","0.0125"
"2.5600","0.0000","0.0137"
"2.5800","0.0000","0.0126"
"2.6000","0.0000","0.0142"
"2.6200","0.0000","0.0127"
"2.6400","0.0000","0.0141"
"2.6600","0.0000","0.0132"
"2.6800","0.0000","0.0130"
"2.7000","0.0000","0.0137"
"2.7200","0.0000","0.0138"
"2.7400","0.0000","0.0145"
"2.7600","0.0000","0.0130"
"2.7800","0.0000","0.0146"
"2.8000","0.0000","0.0140"
"2.8200","0.0000","0.0142"
"2.8400","0.0000","0.0142"
"2.8600","0.0000","0.0148"
"2.8800","0.0000","0.0141"
"2.9000","0.0000","0.0144"
"2.9200","0.0000","0.0142"
"2.9400","0.0000","0.0152"
"2.9600","0.0000","0.0146"
"2.9800","0.0000","0.0151"
"3.0000","0.0000","0.0151"
"3.0200","0.0000","0.0152"
"3.0400","0.0000","0.0147"
"3.0600","0.0000","0.0150"
"3.0800","0.0000","0.0152"
"3.1000","0.0000","0.0149"
"3.1200","0.0000","0.0159"
"3.1400","0.0000","0.0156"
"3.1600","0.0000","0.0161"
"3.1800","0.0000","0.0155"
"3.2000","0.0000","0.0164"
"3.2200","0.0000","0.0161"
"3.2400","0.0000","0.0164"
"3.2600","0.0000","0.0158"
"3.2800","0.0000","0.0167"
"3.3000","0.0000","0.0163"
"3.3200","0.0000","0.0165"
"3.3400","0.0000","0.0167"
"3.3600","0.0000","0.0172"
"3.3800","0.0000","0.0171"
"3.4000","0.0000","0.0168"
"3.4200","0.0000","0.0179"
"3.4400","0.0000","0.0174"
"3.4600","0.0000","0.0177"
"3.4800","0.0000","0.0173"
"3.5000","0.0000","0.0182"
"3.5200","0.0000","0.0179"
"3.5400","0.0000","0.0181"
"3.5600","0.0000","0.0179"
"3.5800","0.0000","0.0187"
"3.6000","0.0000","0.0179"
"3.6200","0.0000","0.0183"
