Input Force [N],Output Force [N],Error
2.55,1.0085,0.23152
2.75,1.1595,0.26013
2.95,1.1193,0.26342
3.15,1.0801,0.23572
3.35,1.0954,0.21872
3.55,1.1706,0.25345
3.75,1.1625,0.1852
3.95,1.2151,0.20724
4.15,1.2349,0.19506
4.35,1.414,0.19429
4.55,1.3366,0.15493
4.75,1.5141,0.18067
4.95,1.5402,0.1791
5.15,1.6479,0.16845
5.35,1.6818,0.16531
5.55,1.8168,0.18152
5.75,1.8246,0.15529
5.95,1.9823,0.16509
6.15,2.058,0.20472
6.35,2.0755,0.18444
6.55,2.2677,0.17514
6.75,2.3293,0.19979
6.95,2.4502,0.1759
7.15,2.5363,0.19318
7.35,2.6743,0.1715
7.55,2.8042,0.14797
7.75,2.9359,0.1667
7.95,2.9861,0.18634
8.15,3.1323,0.16597
8.35,3.2207,0.16936
8.55,3.3214,0.15925
8.75,3.4245,0.11455
8.95,3.4971,0.11768
9.15,3.6652,0.080298
9.35,3.7854,0.056721
9.55,3.9122,0.066075
9.75,3.988,0.090467
